epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1602.87,1.61444,1.94974,1.72603,0.26148,0.44147,0.24704,0.1035,2.01463,2.07117,1.88672,0.0008045,0.0008045,0.0008045
56,1631.85,1.62269,1.93866,1.72702,0.23655,0.42915,0.23643,0.10164,1.96667,2.07318,1.86063,0.00079625,0.00079625,0.00079625
57,1660.77,1.59519,1.93195,1.69874,0.248,0.43396,0.2336,0.09658,1.98934,2.08751,1.8983,0.000788,0.000788,0.000788
58,1689.64,1.62299,1.93252,1.70677,0.24456,0.44587,0.2521,0.10675,1.96318,2.06107,1.85758,0.00077975,0.00077975,0.00077975
59,1718.63,1.62824,1.91556,1.72338,0.23071,0.42715,0.23731,0.09805,1.97944,2.0685,1.89134,0.0007715,0.0007715,0.0007715
60,1747.5,1.62266,1.93616,1.72467,0.23139,0.45007,0.24035,0.10253,1.96798,2.06249,1.86096,0.00076325,0.00076325,0.00076325
61,1776.3,1.61165,1.92696,1.70806,0.24233,0.43398,0.25178,0.1079,1.95465,2.05421,1.87545,0.000755,0.000755,0.000755
62,1805.22,1.60397,1.91716,1.70918,0.25492,0.47069,0.25598,0.10994,1.97039,2.04066,1.86167,0.00074675,0.00074675,0.00074675
63,1834.92,1.61368,1.89914,1.72725,0.24637,0.46185,0.25026,0.10494,1.97957,2.04442,1.89521,0.0007385,0.0007385,0.0007385
64,1863.83,1.59555,1.88108,1.69758,0.2491,0.43277,0.24018,0.10225,1.97143,2.05186,1.8775,0.00073025,0.00073025,0.00073025
65,1892.63,1.6093,1.8999,1.71304,0.25699,0.42277,0.23764,0.10033,1.99622,2.07977,1.89809,0.000722,0.000722,0.000722
66,1921.56,1.58734,1.88244,1.70391,0.249,0.45485,0.2357,0.09879,1.98338,2.0852,1.91345,0.00071375,0.00071375,0.00071375
67,1950.58,1.58857,1.86859,1.70519,0.25535,0.42383,0.25062,0.10786,1.96411,2.05501,1.87752,0.0007055,0.0007055,0.0007055
68,1979.4,1.58167,1.85297,1.69047,0.25881,0.4514,0.24605,0.10373,1.97379,2.07382,1.8839,0.00069725,0.00069725,0.00069725
69,2008.39,1.59085,1.8856,1.70034,0.23917,0.46018,0.23577,0.09971,1.96449,2.05647,1.87316,0.000689,0.000689,0.000689
70,2037.19,1.58871,1.83393,1.70871,0.24476,0.42827,0.24705,0.10203,1.98624,2.05253,1.90123,0.00068075,0.00068075,0.00068075
71,2066.08,1.574,1.82833,1.68903,0.25021,0.46984,0.26401,0.11371,1.97027,2.05275,1.87674,0.0006725,0.0006725,0.0006725
72,2095.37,1.56593,1.8216,1.68275,0.25392,0.42212,0.24756,0.10684,1.97379,2.09038,1.87669,0.00066425,0.00066425,0.00066425
73,2124.37,1.58679,1.84096,1.69419,0.25447,0.472,0.24613,0.1064,1.96546,2.06154,1.85198,0.000656,0.000656,0.000656
74,2153.22,1.55465,1.81737,1.67369,0.24925,0.44597,0.24496,0.10226,2.00137,2.05736,1.89732,0.00064775,0.00064775,0.00064775
75,2182.18,1.57516,1.81342,1.67488,0.25934,0.43601,0.24956,0.1064,1.98975,2.04917,1.88248,0.0006395,0.0006395,0.0006395
76,2211.31,1.5774,1.80662,1.67507,0.24232,0.43868,0.23667,0.09917,2.00699,2.08026,1.89233,0.00063125,0.00063125,0.00063125
77,2240.25,1.55353,1.8267,1.68256,0.26597,0.42837,0.25211,0.10686,1.99948,2.06031,1.90579,0.000623,0.000623,0.000623
78,2269.21,1.54669,1.78968,1.67188,0.2464,0.43859,0.2463,0.10429,1.98225,2.04294,1.89618,0.00061475,0.00061475,0.00061475
79,2298.12,1.55457,1.78767,1.67441,0.26557,0.43641,0.25069,0.1077,1.99772,2.05108,1.90837,0.0006065,0.0006065,0.0006065
80,2327.1,1.54647,1.75897,1.66642,0.25405,0.4244,0.24176,0.10297,2.00549,2.06276,1.89206,0.00059825,0.00059825,0.00059825
81,2356.12,1.54834,1.77935,1.6649,0.272,0.42023,0.24971,0.10636,1.99242,2.05492,1.88352,0.00059,0.00059,0.00059
82,2385.19,1.56154,1.78523,1.68938,0.25983,0.43022,0.24849,0.1067,1.97585,2.0696,1.88771,0.00058175,0.00058175,0.00058175
83,2414.2,1.5396,1.76446,1.65534,0.25594,0.43837,0.25523,0.10955,2.0006,2.05285,1.89365,0.0005735,0.0005735,0.0005735
84,2443.06,1.52275,1.78295,1.66225,0.24065,0.44482,0.23853,0.09857,2.00928,2.04262,1.91425,0.00056525,0.00056525,0.00056525
85,2472.07,1.55347,1.75472,1.66402,0.24796,0.46765,0.25144,0.10857,1.98165,2.06955,1.88121,0.000557,0.000557,0.000557
86,2500.85,1.53216,1.74384,1.65412,0.23787,0.4277,0.22921,0.09626,2.01434,2.09107,1.91721,0.00054875,0.00054875,0.00054875
87,2529.77,1.53328,1.70656,1.64836,0.23136,0.41026,0.22635,0.09455,2.02258,2.11581,1.91261,0.0005405,0.0005405,0.0005405
88,2558.67,1.5112,1.71117,1.6433,0.24301,0.45431,0.2375,0.09882,2.01742,2.11158,1.90851,0.00053225,0.00053225,0.00053225
89,2587.56,1.50977,1.72662,1.63175,0.25381,0.42518,0.24302,0.10409,2.03173,2.10208,1.92776,0.000524,0.000524,0.000524
90,2616.51,1.50408,1.68559,1.63293,0.24661,0.44743,0.23881,0.10055,2.00459,2.09056,1.903,0.00051575,0.00051575,0.00051575
91,2645.38,1.51198,1.69975,1.64185,0.25285,0.39321,0.23148,0.09525,2.02494,2.0802,1.9298,0.0005075,0.0005075,0.0005075
92,2674.36,1.49398,1.68016,1.63226,0.27245,0.39669,0.24198,0.10128,2.00872,2.0598,1.90987,0.00049925,0.00049925,0.00049925
93,2703.36,1.49453,1.65778,1.62118,0.26233,0.42791,0.24964,0.10477,2.0387,2.09366,1.95,0.000491,0.000491,0.000491
94,2732.38,1.52312,1.67847,1.64669,0.24764,0.42802,0.23517,0.09992,2.02253,2.09224,1.90775,0.00048275,0.00048275,0.00048275
95,2761.28,1.48152,1.66092,1.61478,0.26585,0.43147,0.24605,0.10327,2.03204,2.08152,1.94267,0.0004745,0.0004745,0.0004745
96,2790.19,1.46994,1.63122,1.62191,0.26037,0.46561,0.23781,0.0989,2.04296,2.10465,1.93421,0.00046625,0.00046625,0.00046625
97,2819.17,1.49264,1.65212,1.63377,0.26384,0.44467,0.24028,0.10295,2.03297,2.0841,1.92044,0.000458,0.000458,0.000458
98,2848.14,1.47405,1.6138,1.6059,0.26722,0.44444,0.24672,0.10369,2.02707,2.0765,1.92797,0.00044975,0.00044975,0.00044975
99,2877.17,1.48588,1.62835,1.61816,0.27606,0.429,0.241,0.10181,2.03006,2.0745,1.9331,0.0004415,0.0004415,0.0004415
100,2906.25,1.49031,1.65271,1.62521,0.25601,0.44567,0.24766,0.10465,2.03984,2.08552,1.94172,0.00043325,0.00043325,0.00043325
